# This file was automatically generated from the https://github.com/Belarus/GrammarDB
# data (Grammar Database of Belarusian language) using the RELEASE-202309 tag.
# Creative Commons Attribution-ShareAlike 4.0 International License.
#
# Uses UTF-8 format with U+0301 stress marks and U+2BC apostrophes. Each line lists
# a pair of alternative spelling variants of the same word delimited by '|'.
# Intended to be used by ebook dictionaries. If these two are not separate headwords
# in a dictionary, then it makes sense to link them together.
#
Ілья́|Ілля́
адштампава́ны|адштампо́ваны
адштукава́ны|адштуко́ваны
адшчы́пнуты|адшчыпну́ты
ады́граны|адыгра́ны
адысці́|адыйсці́
адысці́ся|адыйсці́ся
адыхо́дная|адхо́дная
ажно́|а́жна
ажно́|анно́
азааспермі́я|азааспе́рмія
азбестабі́тумны|азбестабіту́мны
азелянё́ны|азяле́нены
азні́бець|азнібе́ць
азотаба́ктар|азотаба́ктэр
азотабактары́н|азотабактэры́н
айкані́мія|айканімі́я
акава́ны|ако́ваны
акальцава́ны|акальцо́ваны
акамадзі́равацца|акамадава́цца
акамадзі́раваць|акамадава́ць
акантава́ны|аканто́ваны
акапа́ны|ако́паны
акары́на|ака́рына
акваметры́я|акваме́трыя
акру́жаны|абкру́жаны
акрылі́цца|акры́ліцца
акрылі́ць|акры́ліць
акрэдытава́ны|акрэдыто́ваны
аксідава́ны|аксідзі́раваны
акта́эдр|актаэ́др
актывава́ны|актыві́раваны
аку́стаэлектронны|акустаэлектро́нны
акулі́раваны|акулірава́ны
акулі́раваны|акуліро́ваны
акулі́раваць|акулірава́ць
акулірава́нне|акулі́раванне
акулірава́цца|акулі́равацца
акумулява́нне|акумулі́раванне
акумулява́цца|акумулі́равацца
акумулява́ць|акумулі́раваць
акумулі́раваны|акумулява́ны
акупава́ны|акупі́раваны
акупава́цца|акупі́равацца
акцыянава́ць|акцыяні́раваць
акцэптава́ны|акцэпто́ваны
акіркава́ны|акірко́ваны
але́|а́ле
аленянё́|аленяня́
алкаліме́трыя|алкаліметры́я
алітара́цыя|алітэра́цыя
алітарацы́йны|алітэрацы́йны
амнісці́раваны|амністава́ны
амі́н|а́ман
амі́н|амі́нь
анатамава́цца|анатамі́равацца
анатамава́ць|анатамі́раваць
анатамі́раваны|анатамава́ны
ангажава́цца|ангажы́равацца
ангажава́ць|ангажы́раваць
ангажы́раваны|ангажава́ны
андэгра́ўнд|андэгра́унд
анексі́раваны|анексава́ны
анестэзава́цца|анестэзі́равацца
анестэзава́ць|анестэзі́раваць
анестэзу́ючы|анестэзі́руючы
анестэзі́раваны|анестэзава́ны
анла́йнавы|онла́йнавы
анты́к|а́нтык
антысіме́трыя|антысіметры́я
анчо́ус|анчо́ўс
апартаме́нт|апарта́мент
апаўдня́|апаўдні́
аплява́ны|аплё́ваны
апо́вед|апо́вяд
апра́нуты|апра́нены
апрасава́ны|апрасо́ваны
апрацава́ны|апрацо́ваны
апраўда́ны|апра́ўданы
апублікава́ны|апубліко́ваны
апі́саны|апіса́ны
апілава́ны|апіло́ваны
ара́тай|арата́й
аргалі́|арга́лі
аргентаме́трыя|аргентаметры́я
аржа́ніца|аржані́ца
арлянё́|арляня́
арнітафа́ўна|арнітафа́уна
арпе́джыа|арпе́джыо
артапе́дыя|артапеды́я
асацыява́цца|асацыі́равацца
асацыява́ць|асацыі́раваць
асві́станы|асвіста́ны
аслянё́|асляня́
аснасці́цца|асна́сціцца
аснасці́ць|асна́сціць
астаркава́тасць|аста́ркаватасць
астаркава́ты|аста́ркаваты
астру́ганы|аструга́ны
асфальтабі́тумны|асфальтабіту́мны
асфі́ксія|асфіксі́я
асячы́|асе́кчы
асячы́|асе́ч
асячы́ся|асе́кчыся
асіме́трыя|асіметры́я
атара́ксія|атараксі́я
атры́маны|атрыма́ны
атрыма́ны|атры́маны
афла́йнавы|офла́йнавы
афрыка́ндар|афрыка́ндэр
афіня́нка|афі́нянка
афіня́нін|афі́нянін
афіцэ́р|ахвіцэ́р
ахіле́саў|ахіле́савы
ацыдыме́трыя|ацыдыметры́я
ашча́джанне|ашчаджа́нне
ашчы́паны|ашчыпа́ны
аэрафотаграмме́трыя|аэрафотаграмметры́я
аўдыявізуа́льны|аўдыёвізуа́льны
аўдыякасе́та|аўдыёкасе́та
аўдыясістэ́ма|аўдыёсістэ́ма
аўтагрэ́йдар|аўтагрэ́йдэр
аўтагрэйдары́ст|аўтагрэйдэры́ст
аўтарадыягра́ма|аўтарадыёгра́ма
аўтарадыягра́фія|аўтарадыёгра́фія
аўтаркі́я|аўта́ркія
аўтасэ́рвіс|аўтасе́рвіс
аўтса́йдар|аўтса́йдэр
аўтса́йдарскі|аўтса́йдэрскі
аўтса́йдарства|аўтса́йдэрства
ба́рмен|барме́н
ба́рмен|бармэн
ба́рменка|барме́нка
ба́ртар|ба́ртэр
ба́ртарны|ба́ртэрны
ба́рэль|барэ́ль
ба́ўар|ба́ўэр
бабранё́|бабраня́
баваўнасе́яльны|бавоўнасе́йны
баваўнасе́яльны|бавоўнасе́яльны
баваўнатка́цкі|бавоўнатка́цкі
багу́ністы|багуні́сты
бала́нда|баланда́
бала́сны|бала́стны
бала́стар|бала́стэр
барсучанё́|барсучаня́
барсянё́|барсяня́
бару́кацца|барука́цца
барука́нне|бару́канне
барука́цца|бару́кацца
барэ́тар|барэ́тэр
бе́дэкераўскі|бедэ́кераўскі
бе́лфасцкі|белфа́сцкі
бе́рма|бі́рма
бе́таль|бе́тэль
бе́таль|бетэ́ль
белчанё́|белчаня́
берасцяны́|берасця́ны
беркуцянё́|беркуцяня́
бесемерава́нне|бесеме́раванне
бешме́т|бе́шмет
блакга́ўз|блакга́уз
блакга́ўзны|блакга́узны
бланшырава́нне|бланшы́раванне
бланшырава́ць|бланшы́раваць
бле́ндар|бле́ндэр
блокба́стар|блокба́стэр
блю́зненне|блюзне́нне
блі́зу|блізу́
блі́стар|блі́стэр
блі́цкрыг|бліцкры́г
блізнё́|блізня́
бліндзі́равацца|бліндзірава́цца
бліндзі́раваць|бліндзірава́ць
богабая́зна|багабо́язна
богабая́зны|багабо́язны
бра́ндар|бра́ндэр
бра́танне|брата́нне
брандма́ўар|брандма́ўэр
брандма́ўарны|брандма́ўэрны
браняка́тар|браняка́тэр
бранірава́цца|брані́равацца
брахма́н|бра́хман
браці́ха|бра́ціха
бру́дар|бру́дэр
бру́мер|бруме́р
брударга́ўз|брудэрга́ўз
брударша́фт|брудэрша́фт
бу́бал|буба́л
буйвалянё́|буйваляня́
буйнапанэ́льны|буйнапане́льны
бундэсве́р|бу́ндэсвер
бундэста́г|бу́ндэстаг
бурымэ́|бурыме́
буслянё́|бусляня́
бы́|б
быдлё́|быдля́
было́|бы́ў
было́|была́
было́|былі́
бяспі́сьменнасць|бяспісьме́ннасць
бі́тумны|біту́мны
біту́м|бі́тум
біту́мны|бі́тумны
біятэлеме́трыя|біятэлеметры́я
біятэхні́я|біятэ́хнія
ва́тар|ва́тэр
ва́тарны|ва́тэрны
ва́таршчык|ва́тэршчык
ва́таршчыца|ва́тэршчыца
ваверчанё́|ваверчаня́
вагавы́|ва́гавы
ваенка́м|ваенко́м
ваенка́маўскі|ваенко́маўскі
ваенка́р|ваенко́р
ваенма́р|ваенмо́р
ваенрэўка́м|ваенрэўко́м
важанё́|важаня́
важычанё́|важычаня́
валвыканка́м|валвыканко́м
ванадатаме́трыя|ванадатаметры́я
вара́кушка|вараку́шка
варанянё́|вараняня́
варсяны́|варся́ны
васьмідзяся́тнік|васьмідзеся́тнік
васьмідзяся́ты|васьмідзеся́ты
васямна́ццаты|васемна́ццаты
васямна́ццаць|васемна́ццаць
ватарклазе́т|ватэрклазе́т
ватарлі́нія|ватэрлі́нія
ватармашы́на|ватэрмашы́на
ватарпа́с|ватэрпа́с
ватарпа́сны|ватэрпа́сны
ватарпалі́ст|ватэрпалі́ст
ватарпалі́стка|ватэрпалі́стка
ватарпо́ла|ватэрпо́ла
ватарпо́льны|ватэрпо́льны
ваўчанё́|ваўчаня́
вентылі́равацца|вентылява́цца
вентылі́раваць|вентылява́ць
вені́раваць|венірава́ць
венірава́цца|вені́равацца
венірава́ць|вені́раваць
верабʼянё́|верабʼяня́
верблюдзянё́|верблюдзяня́
ветэрынары́я|ветэрына́рыя
вечавы́|ве́чавы
во́жыкавы|во́жыкаў
во́зера|азяро́
во́семдзясят|во́семдзесят
воданаліўны́|воданалі́ўны
ву́зенька|вузе́нька
ву́зіць|вузі́ць
ву́сцішнасць|вусці́шнасць
вугранё́|вуграня́
вужанё́|вужаня́
вурзну́ць|ву́рзнуць
вучка́м|вучко́м
вы́спрабаваны|выспрабава́ны
вы́траўшчык|вытра́ўшчык
вы́траўшчыца|вытра́ўшчыца
выварны́|вы́варны
выга́рына|вы́гарына
выга́рышча|вы́гарышча
выдранё́|выдраня́
выканка́м|выканко́м
выканка́мавец|выканко́мавец
выканка́маўскі|выканко́маўскі
выпа́ліна|вы́паліна
высокабарто́вы|высокабартавы́
выстаўка́м|выстаўко́м
вярблюдзянё́|вярблюдзяня́
ві́рысты|віры́сты
ві́ша|віша́
віндро́ўар|віндро́ўэр
вінчэ́стар|вінчэ́стэр
га́йда|айда́
га́йда|гайда́
га́нгстар|га́нгстэр
га́нгстарскі|га́нгстэрскі
гадзючанё́|гадзючаня́
гадзянё́|гадзяня́
газго́льдар|газго́льдэр
галоўка́м|галоўко́м
галу́біць|галубі́ць
галубянё́|галубяня́
галчанё́|галчаня́
гангстары́зм|гангстэры́зм
гарбаце́ць|гарба́цець
гарвыканка́м|гарвыканко́м
гарка́м|гарко́м
гарнаста́евы|гарнаста́еў
гарнірава́ць|гарні́раваць
гаршне́п|га́ршнеп
ге́ндар|ге́ндэр
ге́ндарны|ге́ндэрны
гекса́эдр|гексаэ́др
геле́ртар|геле́ртэр
геле́ртарства|геле́ртэрства
геліко́птар|геліко́птэр
гене́зіс|ге́незіс
генеры́раваць|генерава́ць
гепа́рдавы|гепа́рдаў
глушанё́|глушаня́
глыбо́ка|глы́бака
глінабі́тумны|глінабіту́мны
гра́давы|градавы́
грамадзі́цца|грама́дзіцца
грамадзі́ць|грама́дзіць
грачанё́|грачаня́
гро́сбух|гросбу́х
гру́ндар|гру́ндэр
гру́ндарства|гру́ндэрства
груганянё́|груганяня́
груганё́|груганя́
грудабру́шны|грудабрушны́
грунтавы́|грунто́вы
група́рг|групо́рг
групка́м|групко́м
гры́нпісаўскі|грынпі́саўскі
грэ́йдар|грэ́йдэр
грэ́йдарны|грэ́йдэрны
грэйдары́ст|грэйдэры́ст
грэйпфру́т|грэ́йпфрут
гу́нтар|гу́нтэр
губвыканка́м|губвыканко́м
губрэўка́м|губрэўко́м
губча́ты|гу́бчаты
гудрані́равацца|гудранава́цца
гудрані́раваць|гудранава́ць
гусянё́|гусяня́
гуча́ць|гучэ́ць
гідраметалургі́я|гідраметалу́ргія
гідрапрыво́д|гідрапры́вад
гіпсаме́трыя|гіпсаметры́я
да́рма|дарма́
дагні́сці|дагні́ць
дазі́раванне|дазірава́нне
дазіме́тр|дазі́метр
дакі́дацца|дакіда́цца
далечыня́|далячы́нь
дамка́м|дамко́м
дамка́маўскі|дамко́маўскі
дапрызы́ўны|дапрызыўны́
дарма́|да́рма
дацэнтравы́|дацэ́нтравы
дашчы́паны|дашчыпа́ны
двана́ццацера|дванаццацё́ра
двухсастаўны́|двухсаста́ўны
джэрсі́|джэ́рсі
дзеўчанё́|дзеўчаня́
дзя́тлаў|дзя́тлавы
дзявя́тка|дзевя́тка
дзявя́ты|дзевя́ты
дзявя́цера|дзевяцё́ра
дзяся́так|дзеся́так
дзяся́тка|дзеся́тка
дзяся́тнік|дзеся́тнік
дзяся́ты|дзеся́ты
дзяся́цера|дзеся́цера
дзяся́цера|дзесяцё́ра
дзяся́цкі|дзеся́цкі
дзятка́р|дзятко́р
дзятка́раўскі|дзятко́раўскі
дзятлянё́|дзятляня́
дзяўчы́на|дзе́ўчына
дзі́ўна|дзіўно́
дзіцянё́|дзіцяня́
дзіцё́|дзіця́
драздзянё́|драздзяня́
драко́наў|драко́навы
дры́фтар|дры́фтэр
дры́фтарны|дры́фтэрны
дрыгвя́ны|дрыгвяны́
дрыгвяны́|дрыгвя́ны
дрэ́гстар|дрэ́гстэр
дублі́равацца|дублява́цца
дублі́раваць|дублява́ць
думпка́р|ду́мпкар
ды́скант|дыска́нт
дые́з|дыэ́з
дые́та|дыэ́та
дые́тны|дыэ́тны
дые́тнік|дыэ́тнік
дые́тык|дыэ́тык
дыеталагі́чны|дыэталагі́чны
дыетатэрапеўты́чны|дыэтатэрапеўты́чны
дыеты́чны|дыэты́чны
дыетэ́тыка|дыэтэ́тыка
дыетэты́чны|дыэтэты́чны
дыскутава́ць|дыскуці́раваць
дыслацы́равацца|дыслакава́цца
дыслацы́раваць|дыслакава́ць
дыспансе́рны|дыспансэ́рны
дыспансерыза́цыя|дыспансэрыза́цыя
дысплэ́й|дыспле́й
дыферэнцы́равацца|дыферэнцава́цца
дыферэнцы́раваць|дыферэнцава́ць
дыўрэты́чны|дыурэты́чны
дэ́рвіш|дэрві́ш
дэбарка́дар|дэбарка́дэр
дэбарка́дар|дэбаркадэ́р
дэбарка́дарны|дэбарка́дэрны
дэградава́ць|дэградзі́раваць
дэзынва́зія|дэзінва́зія
дэзынсекцы́йны|дэзінсекцы́йны
дэзынфармава́цца|дэзінфармава́цца
дэзынфармава́ць|дэзінфармава́ць
дэзынфармацы́йны|дэзінфармацыйны
дэзынфекцы́йны|дэзінфекцы́йны
дэзынфікава́нне|дэзінфікава́нне
дэзынфікава́цца|дэзынфіцы́равацца
дэзынфікава́цца|дэзінфіцы́равацца
дэзынфікава́ць|дэзынфіцы́раваць
дэзынфікава́ць|дэзінфіцы́раваць
дэкарава́ць|дэкары́раваць
дэко́дар|дэко́дэр
дэмантава́цца|дэманці́равацца
дэмантава́ць|дэманці́раваць
дэмаскі́раванне|дэмаскірава́нне
дэмаскі́равацца|дэмаскірава́цца
дэмаскі́раваць|дэмаскірава́ць
дэпазіта́рны|дэпазі́тарны
дэта́ндар|дэта́ндэр
дэфілява́ць|дэфілі́раваць
дэінсталі́раваць|дэінсталява́ць
епітымʼя́|епіты́мʼя
есаву́л|есау́л
есаву́льскі|есау́льскі
ж|жа́
жа́варанкаў|жа́варанкавы
жа́ўранкавы|жа́ўранкаў
жабянё́|жабяня́
жаке́рыя|жакеры́я
жо́рсткафіксаваны|жорсткафіксава́ны
жураўлянё́|жураўляня́
жы́тны|жытны́
з|са́
зʼі́нець|зʼіне́ць
зʼіне́лы|зʼі́нелы
за́зуб|зазу́б
забранірава́ны|забраніро́ваны
забранірава́цца|забрані́равацца
завя́зка|за́вязка
зага́даны|загада́ны
зазы́ўны|зазыўны́
зайчанё́|зайчаня́
закадзі́равацца|закадава́цца
закадзі́раваць|закадава́ць
зану́дзіць|занудзі́ць
занудзі́цца|зану́дзіцца
запа́мятаны|запамята́ны
запальні́ца|запа́льніца
заплясне́ласць|запле́снеласць
запраграмава́ць|запраграмі́раваць
запратакалява́ць|запратакалі́раваць
запу́жанасць|запужа́насць
запужа́ны|запу́жаны
засла́бы|заслабы́
заста́ўны|застаўны́
засілі́цца|засі́ліцца
засілі́ць|засі́ліць
затры́маны|затрыма́ны
зача́ўраць|зачаўра́ць
зашму́ляць|зашмуля́ць
