# This file was automatically generated from the https://github.com/Belarus/GrammarDB
# data (Grammar Database of Belarusian language) using the RELEASE-202309 tag.
# Creative Commons Attribution-ShareAlike 4.0 International License.
#
# Uses UTF-8 format with U+0301 stress marks and U+2BC apostrophes. Each line lists
# a pair of alternative spelling variants of the same word delimited by '|'.
# Intended to be used by ebook dictionaries. If these two are not separate headwords
# in a dictionary, then it makes sense to link them together.
#
Ілья́|Ілля́
лесаўпара́дкавальны|лесаўпарадкава́льны
лу́зганы|лузга́ны
лу́згаць|лузга́ць
лугавы́|лу́гавы
лы́ндаваць|лындава́ць
львянё́|львяня́
льё́|лье́
лі́дар|лі́дэр
лі́дарскі|лі́дэрскі
лі́дарства|лі́дэрства
лі́стар|лі́стэр
лі́тавацца|літава́цца
лі́тасціва|літасці́ва
лі́тасцівасць|літасці́васць
лі́тасцівенькі|літасці́венькі
лі́тасцівы|літасці́вы
лі́фтавы|ліфтавы́
лі́хтар|лі́хтэр
лі́хтарны|лі́хтэрны
лінка́р|лінко́р
лістарава́ць|лістэрава́ць
лісянё́|лісяня́
літава́ны|лі́таваны
ліхтараво́з|ліхтэраво́з
ліхтараво́зны|ліхтэраво́зны
ма́кавішча|макаві́шча
ма́ркетынгавы|марке́тынгавы
магі́старскі|магі́стэрскі
магі́старства|магі́стэрства
мадэлява́цца|мадэлі́равацца
мадэлява́ць|мадэлі́раваць
мажны́|ма́жны
мака́а|мака́о
малапажы́ўны|малапажыўны́
маларазвіты́|маларазві́ты
малпянё́|малпяня́
малпі́ны|ма́лпіны
маманцянё|маманцяня
манчэ́стар|манчэ́стэр
маржанё́|маржаня́
марке́тынг|ма́ркетынг
маркшэ́йдар|маркшэ́йдэр
маркшэ́йдарскі|маркшэ́йдэрскі
маркшэ́йдарства|маркшэ́йдэрства
маркшэйдары́я|маркшэ́йдарыя
маркшэйдары́я|маркшэ́йдэрыя
маркшэйдары́я|маркшэйдэры́я
машынапі́сны|машы́напісны
ме́мфіскі|мемфі́скі
ме́неджар|ме́неджэр
ме́нзула|мензу́ла
ме́нзульны|мензу́льны
ме́хавы|мехавы́
медзведзянё́|медзведзяня́
межавы́|ме́жавы
менеджары́зм|менеджэры́зм
метаме́рыя|метамеры́я
младапі́сьменны|младапісьме́нны
млынавы́|млы́навы
мнагашпі́ндальны|мнагашпі́ндэльны
многасаста́ўны|многасастаўны́
мо́нстр|мо́нстар
му́скулістасць|мускулі́стасць
му́скулісты|мускулі́сты
мусцье́рскі|мустʼе́рскі
мыля́ць|мы́ляць
мышанё́|мышаня́
мэ́рылендскі|мэрыле́ндскі
мясцка́м|мясцко́м
мясцка́мавец|мясцко́мавец
мясцка́маўскі|мясцко́маўскі
мі́стар|мі́стэр
мі́таль|мі́тэль
мі́тальшпіль|мі́тэльшпіль
міжзу́бны|міжзубны́
мікрафа́ўна|мікрафа́уна
міэлацы́т|міелацы́т
міэлі́н|міелі́н
міэлі́навы|міелі́навы
міэлі́т|міелі́т
на́вісь|наві́сь
на́д|нада
на́нду|нанду́
на́нсук|нансу́к
на́нсукавы|нансу́кавы
на́скі|на́ські
нававы́браны|новавы́браны
нававы́дадзены|новавы́дадзены
нававы́найдзены|новавы́найдзены
награма́дзіць|награмадзі́ць
надстру́ганы|надструга́ны
нады́мляць|надымля́ць
надындывідуа́льны|надіндывідуа́льны
надысці́|надыйсці́
найпе́рш|найпярве́й
найсклада́нейшы|найсклада́ны
найслабе́йшы|найсла́бшы
найслабе́йшы|найслабы
найсмачне́йшы|найсмачны
найспрытне́йшы|найспрытны
найстаражы́тнейшы|найстаражытны
найстрашне́йшы|найстрашны
найтанне́йшы|найтанны
найцудо́ўнейшы|найцудо́ўны
накапі́раваць|накапірава́ць
наксеракапі́раваны|наксеракапірава́ны
наксеракапі́раваць|наксеракапірава́ць
накто́ўз|накто́уз
накуро́дымець|накуро́дыміць
нала́даваны|наладава́ны
наладава́ць|нала́даваць
налу́заны|налуза́ны
налу́зганы|налузга́ны
налу́згаць|налузга́ць
нанпарэ́ль|нонпарэ́ль
нану́дзіцца|нанудзі́цца
наплыўны́|наплы́ўны
нарка́м|нарко́м
нарка́маўскі|нарко́маўскі
насадны́|наса́дны
насві́станы|насвіста́ны
насу́праціў|насупраці́ў
нафтабі́тумны|нафтабіту́мны
начадзі́ць|нача́дзіць
начы́таны|начыта́ны
нашвы́рганы|нашвырга́ны
нашчы́паны|нашчыпа́ны
наўкру́га|наўкруга́
не́прыяцелька|непрыя́целька
неабстру́ганы|неабструга́ны
неабы́граны|неабыгра́ны
неабыя́кі|неабыякі́
неапра́ўданы|неапраўда́ны
неатрыма́ны|неатры́маны
небіткі́|небі́ткі
невыкупны́|невыку́пны
негрыцянё́|негрыцяня́
недаразві́ты|недара́звіты
недатры́маны|недатрыма́ны
недатрыма́ны|недатры́маны
недачы́таны|недачыта́ны
нейракампʼю́тар|нейракампʼю́тэр
непрачыта́ны|непрачы́таны
неразга́данасць|неразгада́насць
нерпянё́|нерпяня́
несало́дка|нясо́ладка
нефраліты́яз|нефралітыя́з
нечленараздзе́льнасць|нячленараздзе́льнасць
неўпарадкава́насць|неўпара́дкаванасць
неўрадлі́вы|неўра́длівы
но́нсэнс|но́нсенс
но́ўтбук|ноўтбу́к
нудзі́ць|ну́дзіць
ню́рнбергскі|нюрнбе́ргскі
нябо́ж|нябо́жа
няйна́кш|найна́кш
нялі́тасцівы|нелітасці́вы
нячленараздзе́льны|нечленараздзе́льны
ні́зенечкі|нізе́нечкі
ні́зкадаходны|нізкадахо́дны
нібы́|ні́бы
нібы́та|ні́быта
ніжэйзгада́ны|ніжэйзга́даны
нізкапрадукты́ўны|нізкапрадукцы́йны
нітавы́|ні́тавы
ніякава́тасць|нія́каватасць
ніякава́ты|нія́каваты
о́рдар|о́рдэр
о́рдарны|о́рдэрны
па́д|пада
па́мятацца|памята́цца
па́мятаць|памята́ць
па́стыр|пасты́р
па́тарскі|па́тэрскі
па́часкавы|пача́скавы
пабару́кацца|пабарука́цца
паблакі́тнець|паблакітне́ць
пабо́лей|пабо́льш
пабурча́ць|пабурчэ́ць
павятка́м|павятко́м
пагнюсі́цца|пагню́сіцца
пагнюсі́ць|пагню́сіць
пагні́сці|пагні́ць
падʼесаву́л|падʼесау́л
пада́лей|падале́й
падбры́кнуць|падбрыкну́ць
падва́хтавы|падвахтавы́
падгні́лы|падгнілы́
падкліка́ны|падклі́каны
падпара́дкавальны|падпарадкава́льны
падпара́дкаванасць|падпарадкава́насць
падпарадкава́нне|падпара́дкаванне
падса́дны|падсадны́
падсыці́ць|падсы́ціць
падтры́маны|падтрыма́ны
падтрыма́ны|падтры́маны
падчы́таны|падчыта́ны
падыскутава́ць|падыскуці́раваць
падысці́|падыйсці́
пажа́длівы|пажадлі́вы
пажадлі́васць|пажа́длівасць
пазвяга́ць|пазвя́гаць
пазіцыянава́ць|пазіцыяні́раваць
пакга́ўз|пакга́уз
пакга́ўзны|пакга́узны
пакуса́ны|паку́саны
пале́каваць|палекава́ць
палу́заны|палуза́ны
палу́шчыць|палушчы́ць
палігра́фія|паліграфі́я
памы́ляць|памыля́ць
памята́цца|па́мятацца
панге́незіс|пангене́зіс
пану́дзіць|панудзі́ць
панудзі́цца|пану́дзіцца
панчая́т|панча́ят
панэ́ль|пане́ль
панэ́льны|пане́льны
панэляво́з|панеляво́з
пані́ч|па́ніч
папа́мятаць|папамята́ць
папа́я|папа́йя
папазвя́гаць|папазвяга́ць
папра́духа|папраду́ха
пара́люш|паралю́ш
пара́ліч|паралі́ч
парано́йя|парано́я
парафразава́ць|парафразі́раваць
парахма́нець|парахмане́ць
парта́рг|парто́рг
партка́м|партко́м
парухаве́ць|паруха́вець
пасля́|апасля́
пасля́|пасле́й
пасрэ́днік|пасярэ́днік
пастаршы́нстваваць|пастаршынствава́ць
пастра́шыць|пастрашы́ць
пасціжо́р|пастыжо́р
пата́нненне|патанне́нне
патайны́|пата́йны
пацучанё́|пацучаня́
пачасці́цца|пача́сціцца
паша́рпаны|пашарпа́ны
пашарпа́цца|паша́рпацца
пашарпа́ць|паша́рпаць
паэкзэмпля́рны|паэкземпля́рны
паўдзяся́тка|паўдзеся́тка
паўтры́зненне|паўтрызне́нне
пе́йджар|пе́йджэр
пе́рад|пе́рада
пе́рад|перада
пе́рад|пра́д
пе́рад|прада
пе́рлінь|перлі́нь
пеліка́навы|пеліка́наў
перааснасці́ць|пераасна́сціць
перадынфа́рктны|перадінфа́рктны
перакапі́раваны|перакапірава́ны
перакапі́раваць|перакапірава́ць
перакапірава́ць|перакапі́раваць
перале́кавацца|пералекава́цца
пералыга́ны|пералы́ганы
перану́дзіцца|перанудзі́цца
перану́дзіць|перанудзі́ць
перапелянё́|перапеляня́
перапраграмава́цца|перапраграмі́равацца
перапраграмава́ць|перапраграмі́раваць
перапрафілява́ць|перапрафілі́раваць
пераспялі́ць|пераспе́ліць
перасука́ны|перасу́каны
ператрыма́ны|ператры́маны
перачы́таны|перачыта́ны
перая́слаўскі|пераясла́ўскі
перфарава́ць|перфары́раваць
планшы́р|пла́ншыр
пло́тар|пло́тэр
плу́нжар|плу́нжэр
плу́нжарны|плу́нжэрны
плэйбо́й|плейбо́й
по́йнтар|по́йнтэр
по́льдар|по́льдэр
по́льдарны|по́льдэрны
по́ртар|по́ртэр
по́ртарны|по́ртэрны
по́стар|по́стэр
по́тнік|патні́к
поліўрэта́навы|поліурэта́навы
пра́вільнейшы|правільне́йшы
пра́зем|празе́м
праблісну́ць|праблі́снуць
прагназава́нне|прагназі́раванне
прагназава́ць|прагназі́раваць
праграмава́нне|праграмі́раванне
праграмава́цца|праграмі́равацца
праграмава́ць|праграмі́раваць
прадзюсава́ць|прадзюсі́раваць
прадублява́ць|прадублі́раваць
прадыферэнцава́ць|прадыферэнцыраваць
прадэзынфікава́ць|прадэзынфіцы́раваць
прадэзынфікава́ць|прадэзінфікава́ць
прадэзынфікава́ць|прадэзінфіцы́раваць
праецы́равацца|праецыявацца
праецы́раваць|праецыяваць
пракаментава́ць|пракаменці́раваць
пралабі́равацца|пралабіявацца
пралабі́раваць|пралабіяваць
прамыславі́к|прамысло́вік
пранудзі́цца|прану́дзіцца
пранудзі́ць|прану́дзіць
праніза́ны|прані́заны
прапальпаваць|прапальпіраваць
прасталю́дзін|прасталюдзі́н
пратапрэсві́тар|пратапрэсві́тэр
пратэлефанава́ць|пратэлефані́раваць
прафа́рг|прафо́рг
прафа́ргаўскі|прафо́ргаўскі
прафгрупа́рг|прафгрупо́рг
прафка́м|прафко́м
прафка́маўскі|прафко́маўскі
прачы́таны|прачыта́ны
прачыта́ны|прачы́таны
прашту́рхацца|праштурха́цца
праштурха́ць|прашту́рхаць
протапрэсві́тар|протапрэсві́тэр
пру́тка|пру́дка
пру́тка|пры́тка
пры́думка|прыду́мка
пры́мхлівы|прымхлі́вы
пры́нтар|пры́нтэр
пры́нтарны|пры́нтэрны
пры́яцель|прыя́цель
пры́яцелька|прыя́целька
пры́яцельскі|прыя́цельскі
пры́яцельства|прыя́цельства
прыду́ркавата|прыдуркава́та
прыду́ркаваты|прыдуркава́ты
прыку́с|пры́кус
прымхлі́васць|пры́мхлівасць
прыну́дзіцца|прынудзі́цца
прытры́маны|прытрыма́ны
прышпільны́|прышпі́льны
прышчаве́ць|прышча́вець
прышчы́кнуты|прышчыкну́ты
прышчыпну́ты|прышчы́пнуты
прыя́цельскі|пры́яцельскі
прэмірава́цца|прэміява́цца
прэмірава́ць|прэміява́ць
прэпарава́ць|прэпары́раваць
прэсві́тар|прэсві́тэр
прэсвітарыя́нец|прэсвітэрыя́нец
прэсвітарыя́нка|прэсвітэрыя́нка
прэсвітарыя́нскі|прэсвітэрыя́нскі
прэсвітарыя́нства|прэсвітэрыя́нства
прэсвітарыя́нін|прэсвітэрыя́нін
псіхагене́зіс|псіхаге́незіс
птушанё́|птушаня́
птушы́нка|пту́шынка
пу́льтавая|пультава́я
пу́шчанскі|пушча́нскі
пэ́йджар|пэ́йджэр
пэцкані́на|пэ́цканіна
пя́дзенік|пядзе́нік
пяцьдзяся́т|пяцьдзеся́т
пяцідзяся́тнік|пяцідзеся́тнік
пяцідзяся́тніца|пяцідзеся́тніца
пяцідзяся́ты|пяцідзеся́ты
пі́нчар|пі́нчэр
пінгвінянё́|пінгвіняня́
пінцы́раванне|пінцырава́нне
піраме́трыя|піраметры́я
пісклянё́|піскляня́
пісьме́нны|пі́сьменны
піяла́|пія́ла
ра́джа|раджа́
ра́йдар|ра́йдэр
ра́ўнд|ра́унд
ра́ўт|ра́ут
рабачка́м|рабачко́м
рабачка́маўскі|рабачко́маўскі
рабка́р|рабко́р
рабка́раўскі|рабко́раўскі
рабселька́р|рабселько́р
рабселька́раўскі|рабселько́раўскі
радыёме́тр|радыё́метр
радыёўніверсітэ́т|радыёуніверсітэ́т
радэ́а|радэ́о
разʼю́рыцца|разʼюры́цца
разблакірава́ць|разблакі́раваць
разбіўны́|разбі́ўны
раздражнё́на|раздра́жнена
разлуза́ны|разлу́заны
разлыга́ны|разлы́ганы
размы́ўны|размыўны́
разна́сцежыць|разнасце́жыць
разысці́ся|разыйсці́ся
райвыканка́м|райвыканко́м
райвыканка́маўскі|райвыканко́маўскі
райгра́с|ра́йграс
райка́м|райко́м
райка́мавец|райко́мавец
райка́маўскі|райко́маўскі
рамантава́цца|рэманці́равацца
рамантава́ць|рэмантава́ць
рамантава́ць|рэманці́раваць
раскача́ны|раска́чаны
раскашава́цца|раскаша́цца
распра́нуты|распрану́ты
распу́кнуты|распукну́ты
распукну́цца|распу́кнуцца
распукну́ць|распу́кнуць
распыта́ны|распы́таны
расхля́бацца|расхляба́цца
ратані́я|рата́нія
рачанё́|рачаня́
ржаві́нне|ржа́вінне
ру́дзенькі|рудзе́нькі
румяне́ць|румя́нець
ры́дар|ры́дэр
ры́марства|рыма́рства
рысянё́|рысяня́
рэ́йдар|рэ́йдэр
рэ́йдарскі|рэ́йдэрскі
рэ́феры|рэферы́
рэзюмава́ць|рэзюмі́раваць
рэйсфе́дар|рэйсфе́дэр
рэйсфе́дарны|рэйсфе́дэрны
рэкру́цкі|рэ́круцкі
рэпі́тар|рэпі́тэр
рэінвестава́ць|рэінвесці́раваць
рэўка́м|рэўко́м
рэўка́мавец|рэўко́мавец
рэўка́маўскі|рэўко́маўскі
са́ўна|са́уна
сабалянё́|сабаляня́
сабачанё́|сабачаня́
саветыза́цыя|савеціза́цыя
саветызава́цца|савецізі́равацца
саветызава́ць|савецізі́раваць
савянё́|савяня́
садавіна́|садаві́на
сакалянё́|сакаляня́
саке́|сакэ́
салаўянё́|салаўяня́
сале́транка|салетра́нка
сало́дка|со́ладка
сальфе́джыа|сальфе́джыо
саляны́|саля́ны
самапраграмава́нне|самапраграмі́раванне
самянё́|самяня́
санкцыянава́нне|санкцыяні́раванне
санкцыянава́цца|санкцыяні́равацца
санкцыянава́ць|санкцыяні́раваць
сарганізава́цца|зарганізава́цца
сарганізава́ць|зʼарганізава́ць
сарганізава́ць|зарганізава́ць
сарфава́ць|зарфава́ць
сарыгіна́льнічаць|зʼарыгіна́льнічаць
сарыгіна́льнічаць|зарыгіна́льнічаць
сарыентава́цца|зʼарыентава́цца
сарыентава́цца|зарыентава́цца
сарыентава́ць|зʼарыентава́ць
сарыентава́ць|зарыентава́ць
саіска́льнік|суіска́льнік
саіска́льніца|суіска́льніца
саіска́льніцтва|суіска́льніцтва
саіска́нне|суіска́нне
саўнарка́маўскі|саўнарко́маўскі
сві́тар|сві́тэр
се́льтарскі|се́льтэрскі
се́псіс|сэ́псіс
се́тар|се́тэр
сельвыканка́м|сельвыканко́м
селька́р|селько́р
селька́раўскі|селько́раўскі
селька́рка|селько́рка
селька́рства|селько́рства
сервіту́тны|сэрвіту́тны
скапі́раваць|скапірава́ць
скапіява́ць|скапі́раваць
сква́тар|сква́тэр
склераметры́я|склераме́трыя
ску́лаваты|скулава́ты
ску́тар|ску́тэр
ску́тарны|ску́тэрны
скулава́ты|ску́лаваты
скутары́ст|скутэры́ст
скутары́стка|скутэры́стка
сла́бенькі|слабе́нькі
сла́бы|слабы́
сла́ўны|сла́вен
слабе́нькі|сла́бенькі
слабкі́|сла́бкі
сланянё́|сланяня́
смы́канне|смыка́нне
снасці́ць|сна́сціць
спаге́ці|спаге́цці
спаніэ́ль|спаніе́ль
спартклу́б|спортклу́б
спартко́мплекс|спортко́мплекс
спелеафа́ўна|спелеафа́уна
спецка́р|спецко́р
спецка́раўскі|спецко́раўскі
спрагназава́ць|спрагназі́раваць
спры́нтар|спры́нтэр
спры́нтарскі|спры́нтэрскі
спі́рытус|спіры́тус
ста́ртар|ста́ртэр
ста́ртарны|ста́ртэрны
старпа́м|старпо́м
старпа́маўскі|старпо́маўскі
старчма́|старчако́м
старчма́|старчко́м
старчма́|старчмака́
старчма́|сто́рчам
стату́т|ста́тут
стату́тны|ста́тутны
страусянё́|страусяня́
страшы́цца|стра́шыцца
стрыжанё́|стрыжаня́
сты́кавы|стыкавы́
стэ́ндар|стэ́ндэр
стэ́ндарны|стэ́ндэрны
стэрэаізамеры́я|стэрэаізаме́рыя
су́днавы|суднавы́
су́мавы|сумавы́
суа́ўтар|саа́ўтар
суа́ўтарскі|саа́ўтарскі
суа́ўтарства|саа́ўтарства
суаранда́тар|сааранда́тар
суарэ́нда|саарэ́нда
субстантывава́ны|субстантыві́раваны
субстантывава́цца|субстантыві́равацца
субынспе́ктар|субінспе́ктар
суву́чань|саву́чань
сувучані́ца|савучані́ца
сувінава́ты|савінава́ты
сугаспада́р|сагаспада́р
судакла́д|садакла́д
судакла́дчык|садакла́дчык
судо́ва-медыцы́нскі|судовамедыцы́нскі
сукрэдыто́р|сакрэдыто́р
супадпара́дкаванне|супадпарадкава́нне
супадпара́дкаваны|супадпарадкава́ны
супадпара́дкаваць|супадпарадкава́ць
суперме́н|супермэ́н
суперме́нскі|супермэ́нскі
супляме́ннік|сапляме́ннік
сурэда́ктар|сарэда́ктар
сурэжысё́р|сарэжысё́р
суслянё́|сусляня́
сутво́рчасць|сатво́рчасць
суту́лаватасць|сутулава́тасць
суту́лаваты|сутулава́ты
суісце́ц|саісце́ц
сфармулява́ць|сфармулі́раваць
сфі́нктар|сфі́нктэр
схлусі́ць|схлу́сіць
сцю́ард|сцюа́рд
счыта́ны|счы́таны
сы́рамятны|сырамя́тны
сы́рамяць|сырамя́ць
сыгра́ны|сы́граны
сысці́|сыйсці́
сысці́ся|сыйсці́ся
сыці́ць|сы́ціць
сычанё́|сычаня́
сэ́нсар|се́нсар
сэ́нсарны|се́нсарны
сэ́рвіс|се́рвіс
сэ́тар|сэ́тэр
сэкано́міць|зʼэкано́міць
сэкано́міць|зэкано́міць
сэнсо́рны|сенсо́рны
сюдо́й|сюдо́ю
сюдо́й|сюдэ́й
сюдо́й|сюдэ́ю
сямна́ццаты|семна́ццаты
сямна́ццаць|семна́ццаць
сямідзяся́тнік|сямідзеся́тнік
сямідзяся́ты|сямідзеся́ты
сярэднеразвіты́|сярэднеразві́ты
сі́ненькі|сіне́нькі
сівучанё́|сівучаня́
сівы́|сі́вы
сінанімі́я|сінані́мія
та́ндэмны|тандэ́мны
талрэ́п|та́лрэп
танкаствало́вы|тонкаствало́вы
тапіна́мбур|тапінамбу́р
тарпедакіда́нне|тарпедакі́данне
то́й|тэ́й
то́стар|то́стэр
тра́пезны|трапе́зны
трансмі́тар|трансмі́тэр
трапе́за|тра́пеза
трапе́зны|тра́пезны
трохвале́нтны|трохва́лентны
трусянё́|трусяня́
трухля́вець|трухляве́ць
тры́а|тры́о
тры́зненне|трызне́нне
трыдзявя́ты|трыдзевя́ты
трыдзяся́ты|трыдзеся́ты
трыумфава́ць|трыўмфаваць
трэ́йдар|трэ́йдэр
трэ́кавік|трэкаві́к
трэшко́ўт|трэшко́ут
ту́былец|тубы́лец
ту́былка|тубы́лка
ту́быльскі|тубы́льскі
тунэ́ль|туне́ль
тунэ́льны|туне́льны
тунэ́льшчык|туне́льшчык
тунэлебудава́нне|тунелебудава́нне
туранё́|тураня́
тхаранё́|тхараня́
тыгранё́|тыграня́
тынэ́йджар|тынэ́йджэр
тыры́стар|тыры́стэр
тыры́старны|тыры́стэрны
тэ́зісны|тэзі́сны
тэ́ндар|тэ́ндэр
тэ́ндарны|тэ́ндэрны
тэ́танус|тэта́нус
тэбенява́ць|тэбенева́ць
тэлекінеты́чны|тэлекіне́тычны
тэлефанава́нне|тэлефані́раванне
тэлефанава́ць|тэлефані́раваць
тэрмі́я|тэ́рмія
тэсці́раваць|тэстава́ць
у|ва́
у|ува
увяза́ны|увя́заны
уві́шны|увішны́
углы́бкі|углыбкі́
уда́ленькі|удале́нькі
узʼю́рыцца|узʼюры́цца
узгадні́ць|узго́дніць
уласка́віць|ула́скавіць
уна́трус|унатру́с
уна́труску|унатру́ску
уну́рыцца|унуры́цца
уну́рыць|унуры́ць
уселітасці́вы|уселі́тасцівы
уча́дзіцца|учадзі́цца
уча́дзіць|учадзі́ць
ушы́ркі|ушыркі́
фа́ўна|фа́уна
фабзаўка́м|фабзаўко́м
фабзаўка́мавец|фабзаўко́мавец
фабзаўка́маўскі|фабзаўко́маўскі
фабка́м|фабко́м
фабка́маўскі|фабко́маўскі
факсі́мільны|факсімі́льны
факусі́раванне|факусірава́нне
факусі́равацца|факусавацца
факусі́раваць|факусава́ць
фара́да|фарада́
фарва́тар|фарва́тэр
фарва́тарны|фарва́тэрны
фарматава́ць|фармаці́раваць
фаўні́ст|фауні́ст
фаўні́стыка|фауні́стыка
фаўністы́чны|фауністы́чны
фаўстпатро́н|фаустпатро́н
фла́тар|фла́тэр
флама́стар|флама́стэр
флама́старскі|флама́стэрскі
флебатонаме́трыя|флебатонаметры́я
фо́ліа|фо́ліо
фо́рталь|фо́ртэль
фотакантра́сны|фотакантра́стны
франкава́цца|франкі́равацца
франкава́ць|франкі́раваць
фрыра́йдар|фрыра́йдэр
фрытрэ́дар|фрытрэ́дэр
фрытрэ́дарскі|фрытрэ́дэрскі
фрытрэ́дарства|фрытрэ́дэрства
функцыянава́нне|функцыяні́раванне
функцыянава́ць|функцыяні́раваць
фурма́н|фу́рман
фю́рар|фю́рэр
фі́дар|фі́дэр
фі́дарны|фі́дэрны
фі́дарны|фідэ́рны
фі́нішар|фі́нішэр
фі́тнес|фі́тнэс
фіза́рг|фізо́рг
філі́стар|філі́стэр
філі́старскі|філі́стэрскі
філі́старства|філі́стэрства
філісты́млянскі|філістымля́нскі
фіні́метр|фініме́тр
хлапчанё́|хлапчаня́
хле́бна|хлябно́
хло́пец|хлапе́ц
хмылі́цца|хмы́ліцца
хо́ладна|хало́дна
хра́мавы|храмавы́
цецеруко́вы|цецеруко́ў
цугавы́|цу́гавы
цугу́ндар|цугу́ндэр
цы́цар|цы́цэр
цы́цара|цы́цэра
цыганё́|цыганя́
цэйхга́ўз|цэйхга́уз
цэйхга́ўзны|цэйхга́узны
цэхка́м|цэхко́м
цюленянё́|цюленяня́
цялё́|цяля́
цячы́|це́кчы
цячы́|цякчы́
ці́хенечка|ціхе́нечка
ці́хенечкі|ціхе́нечкі
ці́хенька|ціхе́нька
ці́хенькі|ціхе́нькі
ча́ртар|ча́ртэр
ча́ртарны|ча́ртэрны
ча́ўш|ча́уш
чадзі́ць|ча́дзіць
чалю́скінец|чэлю́скінец
чанавы́|ча́навы
чарапашанё́|чарапашаня́
чарке́с|чэрке́с
чарке́ска|чэрке́ска
чарке́шанка|чэрке́шанка
чарцянё́|чарцяня́
чатырохва́лентны|чатырохвале́нтны
чачэ́нец|чэчэ́нец
чачэ́нка|чэчэ́нка
чачэ́нскі|чэчэ́нскі
членка́р|членко́р
чоўнападо́бны|чо́ўнападобны
чу́дскі|чудскі́
чу́мны|чумны́
чу́тна|чутно́
чужа́нін|чужані́н
чы́сцец|чысце́ц
чы́таны|чыта́ны
чыранё́|чыраня́
чэ́стар|чэ́стэр
ша́рпаць|шарпа́ць
шаба́савы|ша́басавы
шакі́равацца|шакавацца
шакі́раваць|шакава́ць
шасцідзяся́тнік|шасцідзеся́тнік
шасцідзяся́тніца|шасцідзеся́тніца
шасцідзяся́ты|шасцідзеся́ты
шкада́|шко́да
шканды́баць|шкандыба́ць
шке́нцаль|шке́нцель
шклографава́цца|шклографі́равацца
шклографава́ць|шклографі́раваць
шля́хціц|шля́хціч
шліхавы́|шлі́хавы
шматʼя́русны|шматя́русны
шматсастаўны́|шматсаста́ўны
шмыгну́ць|шмы́гнуць
шні́цаль|шні́цэль
шпа́таль|шпа́тэль
шпачанё́|шпачаня́
шпуравы́|шпу́равы
шпі́ндаль|шпі́ндэль
шпі́ндальны|шпі́ндэльны
шротакі́дальны|шротакіда́льны
шрэ́дар|шрэ́дэр
шрэдарава́ць|шрэдэрава́ць
штампава́ны|штампо́ваны
штампавы́|шта́мпавы
шту́цар|шту́цэр
шу́патлівы|шупатлі́вы
шчанё́|шчаня́
шчупако́вы|шчупако́ў
шчы́паны|шчыпа́ны
шчыглянё́|шчыгляня́
шчылі́нны|шчы́лінны
шыро́ка|шы́рака
шэ́рашаўскі|шарашо́ўскі
шэ́рашаўскі|шарашэ́ўскі
шэла́к|шэ́лак
шэсцьдзяся́т|шэ́сцьдзесят
шэсцьдзяся́т|шэсцьдзеся́т
э́дынбургскі|эдынбу́ргскі
экзерсі́с|экзэрсі́с
экзэ́ма|экзе́ма
экзэмпля́р|экземпля́р
экспазэ́|экспазе́
экіпірава́нне|экіпі́раванне
эле́ктрык|электры́к
электраметалу́ргія|электраметалургі́я
электратыпі́я|электраты́пія
электраі́скравы|электраіскравы́
эпенды́ма|эпе́ндыма
эпістрафа́|эпі́страфа
эпіта́ксія|эпітаксі́я
эрзя́|э́рзя
эрлі́фт|э́рліфт
эспа́ндар|эспа́ндэр
эсэ́нцыя|эсе́нцыя
юнка́р|юнко́р
юнка́раўскі|юнко́раўскі
юнка́рка|юнко́рка
юпі́тар|юпі́тэр
я́звеннік|я́звенік
я́звенніца|я́звеніца
ядкі́|я́дкі
яйцавы́|я́йцавы
ястрабянё́|ястрабяня́
ё́гурт|йагу́рт
ё́гуртны|йагу́ртны
ё́ркшырскі|іаркшы́рскі
ё́таваны|ётава́ны
ёркшыр|йаркшы́р
ёркшыр|іаркшы́р
і́|й
і́нець|іне́ць
і́нфікс|інфі́кс
ігры́шча|і́грышча
ізаме́трыя|ізаметры́я
ільвянё́|ільвяня́
імпрэса́рыа|імпрэса́рыо
інвестава́цца|інвесці́равацца
інвестава́ць|інвесці́раваць
інданезі́йскі|інданэзійскі
індычанё́|індычаня́
інса́йдар|інса́йдэр
інтэрпа́л|інтэрпо́л
інтэрпалява́цца|інтэрпалі́равацца
інтэрпалява́ць|інтэрпалі́раваць
інтэрфе́йс|інтэрфэ́йс
іры́савы|і́рысавы
ітэраты́ўны|ітэрацы́йны
іхтыяфа́ўна|іхтыяфа́уна
іўдаі́зм|іудаі́зм
іўдаі́сцкі|іудаі́сцкі
іўдзе́й|іудзе́й
іўдзе́йка|іудзе́йка
іўдзе́йства|іудзе́йства
